#{"t_start": 1780600309.3689928, "env_id": "None"}
r,l,t,n_delivered,n_invalid,n_empty_grab,n_physics_attempts,sum_grasp_quality,sum_disturb_m,sum_disturb_raw_m,max_disturb_m,n_ejected,n_predicate_succ,n_objects_initial
88.48715,60,163706.538058,18,0,1,59,25.000000000000004,0.8364317768125485,1.5813471408216853,0.08497083950351753,0,18,20
58.962166,60,163721.84815,10,0,1,59,17.000000000000004,0.838912511102107,1.7122665171185631,0.1106214251859168,2,10,20
65.39667,60,163742.426032,11,0,1,59,18.200000000000003,0.8616653877924694,1.8045989997311884,0.05851341451032489,0,11,20
68.048096,60,163757.891888,12,0,0,60,13.8,0.5859466955946787,1.3020560097903429,0.06943113244873332,0,12,20
74.71014,60,163760.448544,14,0,1,59,21.200000000000003,0.8449239876242686,1.668047796739202,0.05334213158113065,0,14,20
83.40813,60,163760.448626,17,0,3,57,20.6,0.7159508438669557,1.2486958338067682,0.09062091843952362,0,17,20
80.37745,60,163763.1702,16,0,1,59,17.4,0.7712900383094166,1.4757891656233106,0.09999813522884449,0,16,20
69.91766,60,163766.614253,13,0,4,56,17.8,0.7911674924373112,1.626172532030682,0.057724162447109595,0,13,20
61.571056,60,163769.831054,10,0,2,58,16.400000000000002,0.7344688407469561,1.5701330733773025,0.07330975007064401,0,10,20
59.85065,60,163769.831147,9,0,0,60,19.800000000000008,1.1246738808644066,2.3011225101878185,0.06258066527129542,0,9,20
75.47601,60,163769.831176,15,0,3,57,16.8,0.6120070883647859,1.1645380150068207,0.1113689570442031,1,15,20
69.12743,60,163787.449898,13,0,4,56,17.0,0.546291244881916,1.0942547859833147,0.06734928565940376,1,13,20
67.677185,60,163805.196145,12,0,2,58,19.8,0.6914106643054436,1.4117114878792327,0.10040910057610097,0,12,20
84.585335,60,163833.588293,17,0,1,59,18.400000000000002,0.3173525174924743,0.8312452442512628,0.02233309570469702,0,17,20
81.68235,60,163865.090699,16,0,0,60,21.200000000000003,0.6688306676409107,1.3972630951026423,0.05238107711897167,0,16,20
88.094864,60,163879.728185,18,0,0,60,21.200000000000003,0.672600202614893,1.207614490133299,0.0969740225646287,0,18,20
82.02046,60,163900.257125,16,0,0,60,22.8,0.699780272263184,1.4195038491515712,0.05232903119688616,0,16,20
72.47176,60,163915.097978,13,0,0,60,20.400000000000002,0.904120603676643,1.8545845415014917,0.05453635772098305,0,13,20
70.81445,60,163917.775975,14,0,5,55,15.6,0.7627865804236522,1.4818106145538312,0.08425870712356771,1,14,20
74.42933,60,163917.77607,14,0,0,60,16.400000000000002,0.825347651592556,1.5331803172120306,0.09672217461102961,0,14,20
64.47958,60,163921.013048,11,0,0,60,16.2,0.7102071898664134,1.4680030157721486,0.05976090997211713,1,11,20
74.8609,60,163924.507008,14,0,1,59,18.200000000000003,0.6095654119750706,1.3593600747024006,0.046305963568152725,0,14,20
65.83961,60,163928.494782,11,0,0,60,17.000000000000004,0.6901963069567996,1.5714422108673582,0.06871162030180891,0,11,20
70.17008,60,163928.494885,13,0,3,57,16.8,0.7449678237330176,1.3609930034398658,0.06025232658934638,0,13,20
84.42958,60,163928.49491,17,0,1,59,24.0,0.9852215176370089,1.8570092169084085,0.07152979815219238,0,17,20
74.19214,60,163946.563775,14,0,0,60,18.8,1.0539308745467313,1.889892384694537,0.12141410620150289,0,14,20
75.0536,60,163966.683255,14,0,1,59,17.6,0.40320427734757036,1.0952630238430128,0.036109075072235104,0,14,20
80.575485,60,163991.385373,16,0,3,57,19.8,0.5322742939860561,1.175288338173827,0.045799985619758024,0,16,20
80.387474,60,164022.367573,16,0,3,57,21.200000000000003,0.8762685083754643,1.7189500052371836,0.11848906151558669,0,16,20
87.08075,60,164036.833181,18,0,1,59,18.0,0.5096509690615766,1.0364415813347083,0.062244593667264266,0,18,20
62.4697,60,164057.403782,10,0,0,60,15.4,0.6351410658194846,1.407176904441003,0.06466079263814453,0,10,20
78.78986,60,164072.095382,15,0,0,60,20.200000000000003,0.7150874330354121,1.5344520361591454,0.07881841163465407,0,15,20
77.690796,60,164074.64629,15,0,1,59,18.400000000000002,0.7446124919465047,1.4839490199022103,0.05634700031585956,0,15,20
86.73476,60,164074.646376,18,0,2,58,18.8,0.5126453490840136,1.023423687859826,0.11192051514609548,0,18,20
79.48233,60,164078.179738,16,0,5,55,19.599999999999998,0.5288447872590624,1.0711100190175313,0.05343380984037599,0,16,20
